State,% working from home
Alabama,8.9
Alaska,9.5
Arizona,19.2
Arkansas,8.8
California,17.2
Colorado,21.2
Connecticut,15.9
Delaware,15.5
Florida,16.4
Georgia,16.3
Hawaii,9.5
Idaho,13.1
Illinois,15.8
Indiana,10.5
Iowa,11
Kansas,12.1
Kentucky,10.5
Louisiana,8.2
Maine,15.7
Maryland,19.2
Massachusetts,18.4
Michigan,13.7
Minnesota,17.2
Mississippi,5.5
Missouri,12.9
Montana,12.6
Nebraska,10.8
Nevada,12.2
New Hampshire,17.3
New Jersey,16.7
New Mexico,12
New York,14.5
North Carolina,16.8
North Dakota,7.6
Ohio,13
Oklahoma,9.4
Oregon,19
Pennsylvania,15.2
Rhode Island,13.4
South Carolina,11.4
South Dakota,9.9
Tennessee,13.3
Texas,14.5
Utah,18
Vermont,16.5
Virginia,18.2
Washington,20.5
West Virginia,9.1
Wisconsin,13
Wyoming,9.1
District of Columbia,33.8
